ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,CIP2,ID CIP2
"79500US4802503","Arlington (East) & Grand Prairie (West Central) Cities PUMA, TX",2018,"2018","true","true",0.5031323234880392,446,516.6922619241558,102701.68385650225,106665.05722538606,5,"arlington-(east)-&-grand-prairie-(west-central)-cities-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US4700400","Robertson, Dickson, Cheatham & Hickman Counties PUMA, TN",2018,"2018","true","true",0.33671405754580114,384,479.9885022012203,72006.3984375,44049.843605433845,5,"robertson-dickson-cheatham-&-hickman-counties-puma-tn","Computer and Information Sciences and Support Services","11"
"79500US4700300","Clarksville City PUMA, TN",2018,"2018","true","true",0.621408215464034,799,691.0052773781674,39032.25782227785,30060.043742886428,6,"clarksville-city-puma-tn","Computer and Information Sciences and Support Services","11"
"79500US5570301","Waukesha County (Central) PUMA, WI",2018,"2018","true","true",1.4440854715158495,1281,869.933731670255,92889.36924277908,10870.074006259343,7,"waukesha-county-(central)-puma-wi","Computer and Information Sciences and Support Services","11"
"79500US7200502","Toa Baja & Dorado Municipios PUMA, PR",2018,"2018","true","true",2.3810335429337224,1138,814.5246275625951,32237.49560632689,11025.597966086154,12,"toa-baja-&-dorado-municipios-puma-pr","Computer and Information Sciences and Support Services","11"
"79500US4700200","Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA, TN",2018,"2018","true","true",0.5063963622467857,358,462.90962360736967,86791.56703910614,62054.16576083741,5,"weakley-henry-carroll-humphreys-benton-&-houston-counties-puma-tn","Computer and Information Sciences and Support Services","11"
"79500US4600600","Sioux Falls City PUMA, SD",2018,"2018","true","true",0.6851520784582391,905,735.0888906017179,76235.26850828729,13942.236502936632,5,"sioux-falls-city-puma-sd","Computer and Information Sciences and Support Services","11"
"79500US4600500","Southeast South Dakota (Outside Sioux Falls City) PUMA, SD",2018,"2018","true","true",0.39967751583465566,397,487.8330011821345,75806.19395465995,32317.601945338232,6,"southeast-south-dakota-(outside-sioux-falls-city)-puma-sd","Computer and Information Sciences and Support Services","11"
"79500US4700500","Hendersonville City PUMA, TN",2018,"2018","true","true",0.5625878637165027,659,627.8097764923524,100225.88770864948,59627.055654963915,8,"hendersonville-city-puma-tn","Computer and Information Sciences and Support Services","11"
"79500US4501204","North Charleston City PUMA, SC",2018,"2018","true","true",1.326180899997661,2072,1107.301843838739,58509.775096525096,18979.85063067267,17,"north-charleston-city-puma-sc","Computer and Information Sciences and Support Services","11"
"79500US7200802","Bayamón Municipio (OEste) PUMA, PR",2018,"2018","true","true",1.4565593849645413,586,588.3318241055528,39277.390784982934,13690.529698452434,7,"bayamón-municipio-(oeste)-puma-pr","Computer and Information Sciences and Support Services","11"
"79500US4501203","Mount Pleasant Town PUMA, SC",2018,"2018","true","true",1.3463701199666371,1461,929.6826629823225,83262.56810403834,19017.105565953076,12,"mount-pleasant-town-puma-sc","Computer and Information Sciences and Support Services","11"
"79500US4501202","Charleston City PUMA, SC",2018,"2018","true","true",0.6312381296379297,977,764.0567148717828,77377.38382804503,28309.64163909438,13,"charleston-city-puma-sc","Computer and Information Sciences and Support Services","11"
"79500US4501201","Summerville Town & Ladson PUMA, SC",2018,"2018","true","true",0.683846579818438,725,657.9433704023994,74891.62344827586,27182.60764066448,8,"summerville-town-&-ladson-puma-sc","Computer and Information Sciences and Support Services","11"
