ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Carnegie Parent,Carnegie Parent,ID Carnegie,Carnegie,ID University,University,ID Degree,Degree,Completions,Slug University,Slug CIP6
"54","History","5401","History","540101","General History",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",1,"carnegie-mellon-university","general-history"
"45","Social Sciences","4599","Other Social Sciences","459999","Other Social Sciences",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","other-social-sciences-6"
"04","Architecture and Related Services","0402","Architecture","040201","Architecture",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",1,"carnegie-mellon-university","architecture-6"
"45","Social Sciences","4506","Economics","450699","Other Economics",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",1,"carnegie-mellon-university","other-economics"
"50","Visual & Performing Arts","5001","General Visual & Performaing Arts","500102","Digital Arts",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",2,"carnegie-mellon-university","digital-arts"
"52","Business","5202","Business Administration, Management, & Operations","520205","Operations Management & Supervision",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","operations-management-supervision"
"04","Architecture and Related Services","0403","Urban Planning","040301","Urban, Community, & Regional Planning",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",6,"carnegie-mellon-university","urban-community-regional-planning"
"45","Social Sciences","4506","Economics","450601","General Economics",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","general-economics"
"04","Architecture and Related Services","0409","Architectural Sciences & Technology","040902","Architectural & Building Sciences & Technology",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",9,"carnegie-mellon-university","architectural-building-sciences-technology"
"50","Visual & Performing Arts","5009","Music","500999","Other Music",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","other-music"
"44","Public Administration and Social Service","4405","Public Work Analysis","440599","Other Public Policy Analysis",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",13,"carnegie-mellon-university","other-public-policy-analysis"
"04","Architecture and Related Services","0499","Other Architecture Studies","049999","Other Architecture & Related Services",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","other-architecture-related-services"
"44","Public Administration and Social Service","4405","Public Work Analysis","440501","General Public Policy Analysis",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",88,"carnegie-mellon-university","general-public-policy-analysis"
"44","Public Administration and Social Service","4404","Public Administration","440401","Public Administration",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",33,"carnegie-mellon-university","public-administration-6"
"09","Communications","0904","Journalism","090499","Other Journalism",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","other-journalism"
"09","Communications","0907","Radio, Television, & Digital Communication","090702","Digital Communication & Multimedia",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",5,"carnegie-mellon-university","digital-communication-multimedia"
"50","Visual & Performing Arts","5010","Arts, Entertainment, & Media Management","501001","General Arts, Entertainment, & Media Management",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",31,"carnegie-mellon-university","general-arts-entertainment-media-management"
"50","Visual & Performing Arts","5004","Design & Applied Arts","500401","General Design & Visual Communications",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",16,"carnegie-mellon-university","general-design-visual-communications"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110102","Artificial Intelligence",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",72,"carnegie-mellon-university","artificial-intelligence"
"52","Business","5221","Telecommunications Management","522101","Telecommunications Management",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","telecommunications-management-6"
"50","Visual & Performing Arts","5009","Music","500913","Music Technology",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",1,"carnegie-mellon-university","music-technology"
"42","Psychology","4299","Other Psychology Studies","429999","Other Psychology",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",0,"carnegie-mellon-university","other-psychology"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110103","Information Technology",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",584,"carnegie-mellon-university","information-technology"
"42","Psychology","4201","General Psychology","420101","General Psychology",2017,"2017","DOC","Doctoral Universities","15","Doctoral Universities: Highest Research Activity","211440","Carnegie Mellon University",7,"Masters Degree",3,"carnegie-mellon-university","general-psychology-6"
