ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,CIP2,ID CIP2
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","151230","Computer support specialists",2018,"2018","true","true",81632,7012.718086687408,77459.78916356331,4660.532804347279,730,"computer-support-specialists-151230","Computer and Information Sciences and Support Services","11"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","559830","Military, rank not specified",2018,"2018","true","true",2313,1180.7534291861746,65085.28620838738,17274.747526950694,26,"military-rank-not-specified","Computer and Information Sciences and Support Services","11"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","553010","Military enlisted tactical operations & air/weapons specialists & crew members",2018,"2018","true","true",791,690.4970882064209,61186.70417193426,17818.392037045574,8,"military-enlisted-tactical-operations-airweapons-specialists-crew-members","Computer and Information Sciences and Support Services","11"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","552010","Firstline enlisted military supervisors",2018,"2018","true","true",1586,977.7414943168508,82518.73203026481,17305.08078717647,16,"firstline-enlisted-military-supervisors","Computer and Information Sciences and Support Services","11"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","true","true",27330,4058.400250561985,193062.54196853275,22996.73429027741,277,"chief-executives-legislators","Computer and Information Sciences and Support Services","11"
"550000","Military specific occupations","550000","Military specific occupations","550000","Military specific occupations","551010","Military officer special & tactical operations leaders",2018,"2018","true","true",1134,826.7603469992815,83992.26278659613,26085.80619239427,15,"military-officer-special-tactical-operations-leaders","Computer and Information Sciences and Support Services","11"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","true","true",5762,1863.6013508836347,31916.230649080182,13498.1976823779,52,"stockers-and-order-fillers","Computer and Information Sciences and Support Services","11"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","true","true",682,641.1593137792413,46950.06451612903,33985.45139689505,5,"packers-packagers-hand","Computer and Information Sciences and Support Services","11"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537062","Laborers & freight, stock, & material movers, hand",2018,"2018","true","true",4975,1731.6657818044716,27096.506733668342,6490.914313973037,43,"laborers-freight-stock-material-movers-hand","Computer and Information Sciences and Support Services","11"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","true","true",9178,2351.9899114925397,124360.27162780562,26201.150334415506,88,"marketing-managers","Computer and Information Sciences and Support Services","11"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","true","true",5043,1743.4597196536922,153959.08387864367,48528.945925402564,50,"sales-managers","Computer and Information Sciences and Support Services","11"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112030","Public relations and fundraising managers",2018,"2018","true","true",1145,830.7604998168066,71958.1135371179,19855.712317472084,11,"public-relations-and-fundraising-managers","Computer and Information Sciences and Support Services","11"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537061","Cleaners of vehicles & equipment",2018,"2018","true","true",540,570.519974655162,35162.90925925926,21918.004616692564,6,"cleaners-of-vehicles-equipment","Computer and Information Sciences and Support Services","11"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2018,"2018","true","true",406,494.6946182674448,26072.524630541873,20908.599622530073,6,"industrial-truck-tractor-operators","Computer and Information Sciences and Support Services","11"
