ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID 2 Digit Course,2 Digit Course,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation
"151252","Software developers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",415548,15804.507424058474,118397.73169645865,2953.274108726311,22.623569411728457,3845,"software-developers"
"15113X","Software developers, applications & systems software",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",410193,15702.36439415624,112992.0561759952,2517.207461188523,22.61304017003439,3807,"software-developers-applications-systems-software"
"15113X","Software developers, applications & systems software",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",369804,14911.026621494364,108786.32708407697,2689.750403308174,23.11494364004196,3435,"software-developers-applications-systems-software"
"15113X","Software developers, applications & systems software",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",340605,14311.458867445795,103011.01487059791,2612.711706805357,23.51941116988049,3162,"software-developers-applications-systems-software"
"15113X","Software developers, applications & systems software",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",304375,13530.362048500412,101604.96353182751,2549.985488028541,24.044599051829234,2837,"software-developers-applications-systems-software"
"151299","Computer occupations, all other",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",124132,8646.418811686426,93375.35867463668,3706.806799086674,11.021662907155747,1093,"computer-occupations-all-other"
"151131","Computer programmers (Legacy)",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",120747,8527.662812207687,87464.00549910143,3508.517582168837,22.769950213158477,1104,"computer-programmers"
"151131","Computer programmers (Legacy)",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",120654,8524.48566860129,94819.06184627116,4145.341454298574,21.47938919957085,1137,"computer-programmers"
"151131","Computer programmers (Legacy)",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",116499,8376.375748699853,84442.6767869252,3289.328928241786,23.023520074830554,1060,"computer-programmers"
"151131","Computer programmers (Legacy)",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",115362,8335.540817753483,90741.45020890761,4026.0385220486064,21.35138268183314,1132,"computer-programmers"
"151199","Other Computer Occupations",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",112626,8236.229951023752,86387.28789089553,4167.603326817216,11.826434561170851,986,"other-computer-occupations"
"151251","Computer programmers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",111560,8197.226183082297,102069.32023126568,5012.72230567299,19.12777328219188,1064,"computer-programmers-151251"
"151199","Other Computer Occupations",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",111140,8181.706591441309,84420.24078639553,4099.693506196517,13.41764770092709,965,"other-computer-occupations"
"119XXX","Miscellaneous managers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",109696,8128.470604756751,132860.2636103413,6932.969680740666,1.9435303357764029,1056,"miscellaneous-managers"
"113021","Computer & information systems managers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",99351,7735.970112760496,123859.33297098168,5320.786052149509,12.125412780394894,962,"computer-information-systems-managers"
"113021","Computer & information systems managers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",99199,7730.012548476183,127323.12210808576,5853.27049034154,12.679927206222091,971,"computer-information-systems-managers"
"113021","Computer & information systems managers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",96257,7614.669681544682,139300.5303510394,6938.281998378212,12.069066247196593,957,"computer-information-systems-managers"
"119XXX","Miscellaneous managers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",95441,7582.277219047625,122073.7800735533,6587.3779292950985,1.8580450138196867,931,"miscellaneous-managers"
"119XXX","Miscellaneous managers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",92620,7469.419573627629,125483.36162815806,7033.644102721807,1.8838915007870487,955,"miscellaneous-managers"
"151199","Other Computer Occupations",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",89949,7360.997730619187,83247.39937075455,4602.272721975328,12.569656475907676,814,"other-computer-occupations"
"113021","Computer & information systems managers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",89157,7328.53957526032,117913.37871395404,5374.16962700095,12.452922168845591,900,"computer-information-systems-managers"
"1191XX","Other managers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",87856,7274.997194718447,141578.3609656711,8649.555755765745,1.7133028235710255,865,"other-managers"
"119XXX","Miscellaneous managers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",86773,7229.915584184029,121332.34963640764,7155.493688020164,1.9210158890566553,855,"miscellaneous-managers"
"113021","Computer & information systems managers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",86772,7229.873949810901,113849.56815562624,5395.888992755666,13.632297487995203,839,"computer-information-systems-managers"
"151230","Computer support specialists",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",81632,7012.718086687408,77459.78916356331,4660.532804347279,8.821540492092304,730,"computer-support-specialists-151230"
"151199","Other Computer Occupations",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",77943,6852.406244963906,82832.43248271172,4644.618984821817,12.429252401479463,699,"other-computer-occupations"
"151150","Computer support specialists (Legacy)",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",75707,6753.512022888437,74449.86190180565,4551.677052664971,8.975735714997471,684,"computer-support-specialists"
"151150","Computer support specialists (Legacy)",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",75667,6751.756266468987,73290.20382729592,4174.116978966834,8.49483540286927,723,"computer-support-specialists"
"151150","Computer support specialists (Legacy)",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",75318,6736.123965189399,70392.06120714836,4953.045397122039,9.625139182769006,691,"computer-support-specialists"
"151121","Computer systems analysts (Legacy)",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",67664,6384.90004055723,88602.63117758336,4669.529517634566,9.373269530375207,634,"computer-systems-analysts"
"151121","Computer systems analysts (Legacy)",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",66475,6328.555991338732,91137.54658142159,5878.849093532851,10.266745198915345,584,"computer-systems-analysts"
"151121","Computer systems analysts (Legacy)",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",65655,6289.373739933053,84892.97413753712,5273.654352889075,10.610055312260819,583,"computer-systems-analysts"
"151150","Computer support specialists (Legacy)",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",63599,6190.159156015679,64007.0899856916,3300.8820167689105,9.67156852485242,580,"computer-support-specialists"
"151211","Computer systems analysts",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",58921,5958.325407318299,97879.75329678722,5727.693554956758,7.978277551519572,546,"computer-systems-analysts-151211"
"151121","Computer systems analysts (Legacy)",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",56121,5815.036745861395,86740.93954134815,5025.196073574033,9.523055151317378,528,"computer-systems-analysts"
"131111","Management analysts",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",42410,5055.304138502825,106578.52952133931,9645.473062302679,3.91146425189858,394,"management-analysts"
"131111","Management analysts",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",38636,4825.185725061944,109906.62012113055,10382.591682806184,3.7055284779353657,352,"management-analysts"
"151142","Network & computer systems administrators",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",37165,4732.462563690956,77698.56060809901,3958.2811741440964,13.249040529917874,332,"network-computer-systems-administrators"
"151142","Network & computer systems administrators",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",37113,4729.141984453843,80892.76727831218,4022.213969528677,13.54386229195954,368,"network-computer-systems-administrators"
"151142","Network & computer systems administrators",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",35715,4639.231013947469,72028.36721265575,4401.192650518233,13.989277957956867,335,"network-computer-systems-administrators"
"151244","Network and computer systems administrators",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",35593,4631.326016232864,83985.86620964797,6019.037472399117,12.079370124183503,351,"network-and-computer-systems-administrators"
"131111","Management analysts",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",34964,4590.207995130449,108010.05065209931,11468.259526998127,3.9578962697142677,333,"management-analysts"
"131111","Management analysts",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",32713,4440.0156278160175,97993.72500229266,8131.6119272337555,4.09061228087951,294,"management-analysts"
"131082","Project management specialists",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",31757,4374.700881411058,114957.02018452625,8483.281952185338,3.2191136837726257,305,"project-management-specialists"
"151142","Network & computer systems administrators",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",31443,4352.995903427267,72467.0386731546,4362.492798139818,12.673581194965271,320,"network-computer-systems-administrators"
"251000","Postsecondary teachers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",31443,4353.018569582601,53115.423846325095,7386.973128089075,1.501250792721997,295,"postsecondary-teachers"
"131111","Management analysts",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",31133,4331.504217112498,102751.92047024058,10263.550548599682,3.343776185977585,314,"management-analysts"
"251000","Postsecondary teachers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",29483,4215.178270684341,61751.901502560795,8982.394104211773,1.5699881131238982,295,"postsecondary-teachers"
"1110XX","Chief executives & legislators",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",27330,4058.400250561985,193062.54196853275,22996.73429027741,1.6337470834302925,277,"chief-executives-legislators"
"1110XX","Chief executives & legislators",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",26652,4007.748668542337,194666.3126594627,23185.65659045506,1.6369012457525294,272,"chief-executives-legislators"
"251000","Postsecondary teachers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",26386,3987.696764616318,66504.71117259153,9509.13747245892,1.349592479448311,252,"postsecondary-teachers"
"251000","Postsecondary teachers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",25579,3926.2629774455613,75775.13362523945,10919.075698040628,1.3140999109185356,264,"postsecondary-teachers"
"1110XX","Chief executives & legislators",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",25498,3920.033078771163,192053.06106361284,22217.314479137876,1.6910850538549678,262,"chief-executives-legislators"
"151212","Information security analysts",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",24648,3854.160525309841,109579.67697176241,9666.869401228518,16.278542898532105,238,"information-security-analysts-151212"
"251000","Postsecondary teachers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",23302,3747.4463564993416,50292.91747489486,7200.51613001532,1.3674616856555222,232,"postsecondary-teachers"
"151134","Web developers (Legacy)",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",23059,3727.8586367972966,67298.7622620235,7082.301882788992,11.72273425835757,199,"web-developers"
"151134","Web developers (Legacy)",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",22957,3719.6153920088773,76313.11443132814,9352.186624226328,10.744939481033285,201,"web-developers"
"151134","Web developers (Legacy)",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",22913,3716.0542972610046,67845.38078819883,5591.33556200241,10.106988341118157,215,"web-developers"
"151143","Computer network architects (Legacy)",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",22530,3684.8620737552546,100714.0039502885,7227.772771955929,17.00445822021534,214,"computer-network-architects"
"1110XX","Chief executives & legislators",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",22527,3684.6114769580345,185074.09628445865,22449.147021033077,1.7020381162199214,220,"chief-executives-legislators"
"1110XX","Chief executives & legislators",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",22246,3661.5674382409516,190686.7114087926,23594.880788376955,1.5564613143620651,211,"chief-executives-legislators"
"252020","Elementary & middle school teachers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",22171,3655.390892462703,48118.60998601777,4527.904806902876,0.5093648938594965,233,"elementary-middle-school-teachers"
"1721YY","Miscellaneous engineers, including nuclear engineers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",22024,3643.265886303021,122135.50090810025,15486.093714313098,2.8833704377213962,225,"miscellaneous-engineers-including-nuclear-engineers"
"132011","Accountants & auditors",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",21684,3615.0356106004115,74157.08729939125,9552.543952591117,0.821548367496354,217,"accountants-auditors"
"1721YY","Miscellaneous engineers, including nuclear engineers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",21210,3575.311712265029,111437.20367751061,11197.729039451324,2.907107110012472,203,"miscellaneous-engineers-including-nuclear-engineers"
"151122","Information security analysts (Legacy)",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",21191,3573.7101943097696,99557.91949412487,6775.6068656393245,17.359401596545204,199,"information-security-analysts"
"151143","Computer network architects (Legacy)",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",21137,3569.142093641481,98266.9162605857,7106.370174322681,17.337599428232515,171,"computer-network-architects"
"132011","Accountants & auditors",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",20981,3555.964159612353,92860.72494161384,11940.711996495646,0.7697143378338008,195,"accountants-auditors"
"15124X","Database administrators and architects",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",20861,3545.7819024211753,104490.05095633,10212.491831479878,12.810148846614274,204,"database-administrators-and-architects"
"151134","Web developers (Legacy)",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",20629,3526.0024331911295,67515.80648601483,5951.131550563518,9.862573211099406,196,"web-developers"
"434051","Customer service representatives",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",20480,3513.257540997054,60350.89584960938,10041.46567985345,0.47199661041110086,175,"customer-service-representatives"
"411011","Firstline supervisors of retail sales workers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",20215,3490.4568117568983,89929.42686124165,17130.035561470922,0.4973531704515,181,"firstline-supervisors-of-retail-sales-workers"
"151141","Database administrators",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",19904,3463.5001515887698,99120.58988143087,9340.631113302017,13.804447359559687,196,"database-administrators"
"132011","Accountants & auditors",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",19685,3444.395920332663,84142.57190754381,13868.281488492667,0.8200531556226696,188,"accountants-auditors"
"434051","Customer service representatives",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",19565,3433.8863862185804,50843.932021466906,10261.737063238184,0.5086588371749684,166,"customer-service-representatives"
"151143","Computer network architects (Legacy)",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",19522,3430.1113083734554,112449.35006659153,9779.578998309053,14.173759752143669,183,"computer-network-architects"
